frame_number,timestamp,object_class_id,object_class_name,confidence_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,0.016683333333333335,63,laptop,0.9261466264724731,1030,1577,2160,2855
1,0.016683333333333335,39,bottle,0.9099282026290894,556,1364,1017,2389
2,0.03336666666666667,63,laptop,0.9184511303901672,1036,1580,2160,2855
2,0.03336666666666667,39,bottle,0.9104662537574768,562,1365,1019,2389
3,0.050050000000000004,63,laptop,0.9126272797584534,1036,1582,2160,2857
3,0.050050000000000004,39,bottle,0.9113389253616333,565,1371,1022,2393
4,0.06673333333333334,63,laptop,0.9200347065925598,1035,1588,2159,2859
4,0.06673333333333334,39,bottle,0.904972493648529,569,1376,1023,2392
5,0.08341666666666667,63,laptop,0.9260274171829224,1035,1590,2160,2861
5,0.08341666666666667,39,bottle,0.9015080332756042,572,1384,1027,2398
6,0.10010000000000001,63,laptop,0.9266741871833801,1038,1589,2160,2863
6,0.10010000000000001,39,bottle,0.9020421504974365,574,1388,1028,2397
7,0.11678333333333334,63,laptop,0.9279757142066956,1041,1593,2160,2863
7,0.11678333333333334,39,bottle,0.901507556438446,578,1390,1033,2398
8,0.13346666666666668,63,laptop,0.9315108060836792,1045,1594,2160,2865
8,0.13346666666666668,39,bottle,0.912025511264801,583,1390,1036,2399
9,0.15015,63,laptop,0.9315088391304016,1052,1593,2160,2865
9,0.15015,39,bottle,0.899542510509491,586,1391,1041,2398
10,0.16683333333333333,63,laptop,0.933078408241272,1053,1593,2159,2863
10,0.16683333333333333,39,bottle,0.8961130976676941,586,1391,1043,2398
11,0.18351666666666666,63,laptop,0.9336925745010376,1052,1592,2159,2860
11,0.18351666666666666,39,bottle,0.8989251852035522,588,1389,1042,2397
12,0.20020000000000002,63,laptop,0.9318205118179321,1050,1591,2160,2858
12,0.20020000000000002,39,bottle,0.9052238464355469,583,1387,1040,2398
13,0.21688333333333334,63,laptop,0.9242830276489258,1049,1589,2160,2858
13,0.21688333333333334,39,bottle,0.9023415446281433,582,1385,1039,2397
14,0.23356666666666667,63,laptop,0.9251148104667664,1051,1587,2160,2855
14,0.23356666666666667,39,bottle,0.9065907597541809,584,1381,1041,2396
15,0.25025000000000003,63,laptop,0.9237784743309021,1052,1588,2160,2855
15,0.25025000000000003,39,bottle,0.9115996360778809,586,1382,1042,2395
16,0.26693333333333336,63,laptop,0.9256427884101868,1052,1587,2159,2856
16,0.26693333333333336,39,bottle,0.9118815660476685,585,1383,1042,2395
17,0.2836166666666667,63,laptop,0.92640221118927,1054,1588,2159,2857
17,0.2836166666666667,39,bottle,0.9129890203475952,585,1383,1042,2396
18,0.3003,63,laptop,0.9197165966033936,1054,1588,2159,2859
18,0.3003,39,bottle,0.9081952571868896,586,1383,1042,2397
19,0.31698333333333334,63,laptop,0.9212052226066589,1054,1588,2159,2858
19,0.31698333333333334,39,bottle,0.9078751802444458,588,1384,1043,2397
20,0.33366666666666667,63,laptop,0.9216092228889465,1053,1588,2160,2857
20,0.33366666666666667,39,bottle,0.908198893070221,587,1381,1043,2396
21,0.35035,63,laptop,0.9267193675041199,1052,1586,2160,2854
21,0.35035,39,bottle,0.9121529459953308,586,1377,1043,2395
22,0.3670333333333333,63,laptop,0.932508111000061,1053,1584,2159,2852
22,0.3670333333333333,39,bottle,0.9084771275520325,582,1373,1042,2395
23,0.38371666666666665,63,laptop,0.9315261244773865,1054,1583,2160,2848
23,0.38371666666666665,39,bottle,0.9119663834571838,580,1370,1042,2393
24,0.40040000000000003,63,laptop,0.9322546124458313,1054,1577,2160,2846
24,0.40040000000000003,39,bottle,0.914152204990387,581,1368,1042,2392
25,0.41708333333333336,63,laptop,0.9286085963249207,1055,1571,2160,2843
25,0.41708333333333336,39,bottle,0.9159610867500305,581,1367,1042,2390
26,0.4337666666666667,63,laptop,0.9300499558448792,1054,1570,2160,2843
26,0.4337666666666667,39,bottle,0.9093786478042603,580,1366,1040,2391
27,0.45045,63,laptop,0.9270977973937988,1051,1569,2160,2842
27,0.45045,39,bottle,0.9139819741249084,576,1367,1038,2392
28,0.46713333333333334,63,laptop,0.9291931390762329,1049,1570,2160,2843
28,0.46713333333333334,39,bottle,0.9116852879524231,575,1366,1035,2392
29,0.4838166666666667,63,laptop,0.9256963729858398,1047,1573,2160,2843
29,0.4838166666666667,39,bottle,0.9114219546318054,576,1367,1032,2393
30,0.5005000000000001,63,laptop,0.9306471943855286,1045,1577,2160,2847
30,0.5005000000000001,39,bottle,0.9154742956161499,569,1369,1031,2397
31,0.5171833333333333,63,laptop,0.9281627535820007,1042,1580,2160,2849
31,0.5171833333333333,39,bottle,0.9105960130691528,571,1370,1029,2396
32,0.5338666666666667,63,laptop,0.9257727861404419,1041,1583,2160,2850
32,0.5338666666666667,39,bottle,0.9137523770332336,568,1374,1028,2399
33,0.55055,63,laptop,0.9261621236801147,1045,1581,2160,2854
33,0.55055,39,bottle,0.9092055559158325,571,1375,1030,2399
34,0.5672333333333334,63,laptop,0.9176928400993347,1045,1583,2160,2855
34,0.5672333333333334,39,bottle,0.8996098041534424,574,1379,1031,2399
35,0.5839166666666666,63,laptop,0.9287114143371582,1045,1588,2160,2858
35,0.5839166666666666,39,bottle,0.9012686014175415,576,1384,1031,2399
36,0.6006,63,laptop,0.9285169839859009,1044,1590,2160,2860
36,0.6006,39,bottle,0.9031895995140076,576,1386,1032,2401
37,0.6172833333333333,63,laptop,0.9272059798240662,1043,1590,2160,2861
37,0.6172833333333333,39,bottle,0.9004679322242737,575,1389,1032,2401
38,0.6339666666666667,63,laptop,0.9282582998275757,1045,1591,2160,2860
38,0.6339666666666667,39,bottle,0.8971168994903564,576,1387,1032,2401
39,0.6506500000000001,63,laptop,0.9301667213439941,1049,1592,2160,2859
39,0.6506500000000001,39,bottle,0.8945865631103516,577,1384,1034,2400
40,0.6673333333333333,63,laptop,0.9281394481658936,1050,1591,2160,2857
40,0.6673333333333333,39,bottle,0.8964873552322388,578,1381,1034,2399
41,0.6840166666666667,63,laptop,0.9246066808700562,1051,1588,2160,2854
41,0.6840166666666667,39,bottle,0.9032981395721436,579,1380,1036,2399
42,0.7007,63,laptop,0.9269794821739197,1052,1587,2160,2854
42,0.7007,39,bottle,0.9083760976791382,578,1380,1039,2400
43,0.7173833333333334,63,laptop,0.9308024048805237,1053,1586,2160,2854
43,0.7173833333333334,39,bottle,0.9084557890892029,579,1379,1040,2401
44,0.7340666666666666,63,laptop,0.9279464483261108,1054,1586,2160,2852
44,0.7340666666666666,39,bottle,0.9027279019355774,578,1378,1040,2399
45,0.75075,63,laptop,0.9287732243537903,1056,1585,2160,2849
45,0.75075,39,bottle,0.897422194480896,577,1377,1040,2397
46,0.7674333333333333,63,laptop,0.9265798330307007,1056,1582,2160,2846
46,0.7674333333333333,39,bottle,0.9021857380867004,577,1374,1040,2396
47,0.7841166666666667,63,laptop,0.9322648644447327,1056,1581,2160,2845
47,0.7841166666666667,39,bottle,0.9084919691085815,578,1372,1040,2395
48,0.8008000000000001,63,laptop,0.9320431351661682,1057,1580,2160,2843
48,0.8008000000000001,39,bottle,0.9128011465072632,576,1370,1041,2395
49,0.8174833333333333,63,laptop,0.9317824244499207,1057,1577,2160,2841
49,0.8174833333333333,39,bottle,0.9110321402549744,577,1368,1040,2394
50,0.8341666666666667,63,laptop,0.9325817227363586,1057,1577,2160,2841
50,0.8341666666666667,39,bottle,0.9125358462333679,577,1369,1040,2394
51,0.85085,63,laptop,0.9304762482643127,1057,1577,2160,2841
51,0.85085,39,bottle,0.9098755121231079,580,1371,1040,2394
52,0.8675333333333334,63,laptop,0.9295337796211243,1057,1580,2160,2840
52,0.8675333333333334,39,bottle,0.9068729877471924,582,1374,1041,2394
53,0.8842166666666667,63,laptop,0.9254068732261658,1058,1583,2160,2838
53,0.8842166666666667,39,bottle,0.9062395095825195,581,1376,1041,2396
54,0.9009,63,laptop,0.9303988218307495,1059,1587,2160,2842
54,0.9009,39,bottle,0.9034487009048462,582,1379,1041,2396
55,0.9175833333333333,63,laptop,0.9294396042823792,1059,1588,2160,2839
55,0.9175833333333333,39,bottle,0.9013428092002869,584,1383,1041,2397
56,0.9342666666666667,63,laptop,0.9296740293502808,1059,1588,2160,2838
56,0.9342666666666667,39,bottle,0.8991411328315735,584,1386,1040,2397
57,0.95095,63,laptop,0.9292567372322083,1059,1587,2160,2837
57,0.95095,39,bottle,0.8950189352035522,584,1388,1039,2397
58,0.9676333333333333,63,laptop,0.9312535524368286,1059,1589,2160,2836
58,0.9676333333333333,39,bottle,0.895559549331665,584,1389,1039,2397
59,0.9843166666666667,63,laptop,0.9266675710678101,1058,1587,2160,2836
59,0.9843166666666667,39,bottle,0.8977876305580139,583,1388,1038,2397
60,1.0010000000000001,63,laptop,0.9248160719871521,1058,1585,2160,2834
60,1.0010000000000001,39,bottle,0.9011743664741516,581,1387,1036,2396
61,1.0176833333333333,63,laptop,0.9300437569618225,1057,1585,2160,2831
