frame_number,timestamp,object_class_id,object_class_name,confidence_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,0.016683333333333335,63,laptop,0.9549754858016968,1039,1588,2160,2854
1,0.016683333333333335,39,bottle,0.9337860345840454,557,1374,1018,2386
2,0.03336666666666667,63,laptop,0.9552059173583984,1044,1589,2160,2855
2,0.03336666666666667,39,bottle,0.9344140887260437,559,1374,1021,2388
3,0.050050000000000004,63,laptop,0.9523118138313293,1046,1595,2160,2858
3,0.050050000000000004,39,bottle,0.9344955682754517,560,1380,1025,2390
4,0.06673333333333334,63,laptop,0.9529920816421509,1046,1598,2160,2861
4,0.06673333333333334,39,bottle,0.9319148063659668,563,1383,1025,2393
5,0.08341666666666667,63,laptop,0.9531605839729309,1047,1600,2160,2863
5,0.08341666666666667,39,bottle,0.9317407011985779,564,1387,1025,2397
6,0.10010000000000001,63,laptop,0.9530462026596069,1051,1600,2160,2865
6,0.10010000000000001,39,bottle,0.9314791560173035,568,1389,1027,2398
7,0.11678333333333334,63,laptop,0.9551477432250977,1056,1598,2160,2868
7,0.11678333333333334,39,bottle,0.9318878054618835,574,1392,1031,2397
8,0.13346666666666668,63,laptop,0.9561305046081543,1061,1602,2160,2867
8,0.13346666666666668,39,bottle,0.9319474101066589,578,1392,1035,2397
9,0.15015,63,laptop,0.9560885429382324,1065,1601,2160,2866
9,0.15015,39,bottle,0.9291883111000061,581,1392,1039,2396
10,0.16683333333333333,63,laptop,0.953609049320221,1064,1597,2157,2866
10,0.16683333333333333,39,bottle,0.930976152420044,582,1391,1041,2394
11,0.18351666666666666,63,laptop,0.954129159450531,1063,1596,2157,2865
11,0.18351666666666666,39,bottle,0.9304423928260803,584,1390,1040,2394
12,0.20020000000000002,63,laptop,0.9534804821014404,1063,1596,2160,2861
12,0.20020000000000002,39,bottle,0.9294755458831787,581,1388,1039,2393
13,0.21688333333333334,63,laptop,0.953719437122345,1063,1597,2160,2857
13,0.21688333333333334,39,bottle,0.9308276176452637,580,1385,1038,2391
14,0.23356666666666667,63,laptop,0.9553733468055725,1062,1593,2157,2859
14,0.23356666666666667,39,bottle,0.9322519302368164,581,1385,1038,2392
15,0.25025000000000003,63,laptop,0.9561290740966797,1063,1593,2157,2859
15,0.25025000000000003,39,bottle,0.9321810603141785,582,1386,1038,2392
16,0.26693333333333336,63,laptop,0.9573116302490234,1065,1595,2160,2859
16,0.26693333333333336,39,bottle,0.9323135614395142,582,1386,1040,2391
17,0.2836166666666667,63,laptop,0.9570950865745544,1066,1595,2160,2858
17,0.2836166666666667,39,bottle,0.9314081072807312,582,1387,1040,2393
18,0.3003,63,laptop,0.9568876028060913,1066,1595,2160,2860
18,0.3003,39,bottle,0.9307271838188171,583,1387,1041,2394
19,0.31698333333333334,63,laptop,0.9579607844352722,1066,1595,2160,2859
19,0.31698333333333334,39,bottle,0.932723343372345,582,1387,1041,2394
20,0.33366666666666667,63,laptop,0.9585429430007935,1066,1596,2160,2859
20,0.33366666666666667,39,bottle,0.9329642653465271,582,1385,1041,2394
21,0.35035,63,laptop,0.9564465284347534,1065,1591,2160,2858
21,0.35035,39,bottle,0.9335323572158813,581,1383,1041,2392
22,0.3670333333333333,63,laptop,0.9561370015144348,1066,1588,2160,2852
22,0.3670333333333333,39,bottle,0.9355523586273193,581,1381,1042,2390
23,0.38371666666666665,63,laptop,0.9567000269889832,1063,1583,2157,2852
23,0.38371666666666665,39,bottle,0.9338058829307556,579,1378,1040,2388
24,0.40040000000000003,63,laptop,0.9572786688804626,1064,1579,2157,2849
24,0.40040000000000003,39,bottle,0.9319068789482117,579,1375,1040,2387
25,0.41708333333333336,63,laptop,0.9562910199165344,1063,1577,2157,2845
25,0.41708333333333336,39,bottle,0.9359262585639954,578,1373,1039,2385
26,0.4337666666666667,63,laptop,0.9575245976448059,1062,1577,2157,2844
